Batch,Generasi,Rute,Fitness,Jarak
294,50,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
295,1,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,2,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,3,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,4,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,5,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,6,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,7,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,8,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,9,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,10,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,11,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,12,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,13,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,14,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,15,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,16,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,17,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,18,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
295,19,Dago ➝ Setiabudi ➝ Riau ➝ Ciwidey,0.028823,34.69
